Freq(Hz),S11(DB),S11(DEG),S22(DB),S22(DEG),S21(DB),S21(DEG)
10000000,-27.235962,7.171164,-25.624048,-13.239027,-0.28209287,-66.807648
109950000,-36.554607,140.6629,-36.785755,140.52055,-0.88454968,40.29314
209900000,-41.107647,52.542553,-38.615032,12.091825,-1.2094979,145.9335
309850000,-41.423893,-115.15163,-50.033726,121.77959,-1.4660566,-108.09012
409800000,-35.374992,82.27137,-33.651005,62.954079,-1.6886517,-1.867891
509750000,-40.785034,-104.3549,-39.307899,104.6841,-1.8817103,104.47643
609700000,-43.778049,101.12044,-43.059994,114.36071,-2.0632689,-149.01544
709650000,-30.219904,50.36301,-29.87796,24.007385,-2.2223492,-42.383617
809600000,-39.544205,157.04787,-36.830479,99.205719,-2.3714423,64.239281
909550000,-34.909023,59.42065,-36.321461,54.394592,-2.5112867,170.98091
1009500000,-30.043774,13.174698,-28.169912,-11.609058,-2.648001,-82.204575
1109450000,-33.735413,137.45776,-29.010296,44.177994,-2.7762702,24.51457
1209400000,-31.722971,32.308037,-29.479517,27.020697,-2.8951836,131.36073
1309350000,-32.736099,-36.66927,-32.491531,-9.8016157,-3.0144753,-121.71616
1409300000,-28.093775,58.118423,-29.793699,54.251476,-3.1353717,-14.816258
1509250000,-40.950233,64.016945,-36.860065,-68.405144,-3.228255,92.108849
1609200000,-31.770033,-15.894042,-33.631931,-102.64244,-3.3366799,-160.93681
1709150000,-31.090254,71.20182,-26.567869,-30.409222,-3.4476469,-53.990292
1809100000,-35.745193,-10.371844,-34.875446,-29.773952,-3.5409443,53.000919
1909050000,-36.411785,49.770695,-31.81266,23.320683,-3.6408114,160.00589
2009000000,-32.92683,-26.269484,-32.845917,23.939869,-3.7338293,-92.905968
2108950000,-34.155907,67.926842,-31.964653,83.315453,-3.8271577,14.098599
2208900000,-30.507284,-24.807646,-32.2766,88.056931,-3.9183199,121.17551
2308850000,-36.448833,49.187664,-34.554222,173.37868,-4.0066028,-131.76924
2408800000,-39.513641,-10.438407,-51.487289,-10.453716,-4.0918212,-24.676819
2508750000,-30.927921,1.8141236,-31.84984,-30.375603,-4.1811004,82.429802
2608700000,-37.602337,-124.07715,-28.470724,-5.0926647,-4.2671881,-170.41913
2708650000,-31.283754,0.62132841,-29.496603,34.097408,-4.3479514,-63.320171
2808600000,-36.860405,-107.15655,-28.56538,47.008389,-4.4297152,43.83857
2908550000,-29.914383,46.625061,-26.516083,56.778709,-4.5140324,150.96101
3008500000,-32.209595,-95.816582,-28.663198,81.937561,-4.5887113,-101.89919
3108450000,-31.509249,-3.8166456,-36.989059,142.11185,-4.6632619,5.2093525
3208400000,-33.296635,107.08607,-31.229876,-67.196335,-4.7396302,112.39757
3308350000,-34.461334,-85.720352,-29.847851,5.0631919,-4.810482,-140.38895
3408300000,-62.184055,127.17175,-29.94113,-5.4461894,-4.8831358,-33.195118
3508250000,-28.743732,5.2689452,-24.79265,-9.526701,-4.9665194,74.092987
3608200000,-29.99437,165.91792,-23.275633,13.213397,-5.042799,-178.82347
3708150000,-29.435938,-45.031364,-25.167101,55.591648,-5.110085,-71.720459
3808100000,-29.995003,87.651031,-34.602398,115.08533,-5.1720047,35.479061
3908050000,-31.299427,-172.69557,-27.042612,-64.046196,-5.2352977,142.84381
4008000000,-39.411652,49.486931,-28.717405,-39.906975,-5.2947717,-109.94098
4107950000,-35.31773,-11.177139,-27.978128,-68.895233,-5.3642483,-2.6457851
4207900000,-25.935942,91.655426,-21.802336,-52.795689,-5.458005,104.59544
4307850000,-32.057549,-90.045494,-22.285456,-28.165045,-5.5137835,-148.3501
4407800000,-28.654402,36.603226,-31.281704,15.539316,-5.556551,-41.076447
4507750000,-33.119255,97.456757,-40.44791,-163.43079,-5.6174946,66.105812
4607700000,-34.018398,88.867966,-40.788567,-68.862083,-5.6777139,173.42583
4707650000,-35.282749,9.4874735,-39.573963,-128.00804,-5.7401047,-79.23127
4807600000,-24.834814,44.6549,-24.133039,-150.67334,-5.8330345,28.025475
4907550000,-30.543829,120.71108,-25.0651,-78.898903,-5.8814778,135.11638
5007500000,-28.661442,6.3318996,-25.977713,-50.79406,-5.9390569,-117.6306
5107450000,-26.619732,59.863426,-30.393013,40.218109,-5.9987254,-10.39015
5207400000,-30.269066,28.232336,-36.483639,24.693689,-6.0477004,97.035767
5307350000,-33.585438,62.613808,-28.628134,102.56918,-6.1114821,-155.67451
5407300000,-27.099339,19.923668,-29.261766,96.058212,-6.1726704,-48.402649
5507250000,-28.089222,87.385445,-25.855909,167.1954,-6.2441306,58.735031
5607200000,-28.169025,-10.92275,-33.09951,-164.43536,-6.282011,166.10864
5707150000,-27.144241,26.003956,-30.266014,-58.628342,-6.3420773,-86.635887
5807100000,-32.368656,4.5186009,-32.987301,-7.6881833,-6.3909335,20.672344
5907050000,-29.161825,11.015556,-27.739292,21.560881,-6.4541903,127.93957
6007000000,-30.012556,-17.223309,-27.419792,29.852312,-6.5132904,-124.7139
6106950000,-29.02961,20.094358,-27.559036,62.670734,-6.5693779,-17.508095
6206900000,-30.59738,-47.520218,-29.241661,89.492348,-6.621439,89.810783
6306850000,-27.057993,21.571152,-33.26992,142.57431,-6.6790652,-162.92404
6406800000,-50.530918,6.5065227,-30.016327,-79.159241,-6.726881,-55.504921
6506750000,-24.086737,-8.9350147,-24.797194,-60.72821,-6.7994299,51.788849
6606700000,-33.361862,-2.065613,-26.547007,-28.752466,-6.8381033,159.02759
6706650000,-27.672319,1.4722778,-27.203276,-15.235224,-6.889082,-93.62664
6806600000,-30.626665,-62.67831,-26.622223,-5.7624068,-6.9440532,13.709491
6906550000,-23.822464,-9.4832897,-24.6591,44.027523,-7.0197678,120.93395
7006500000,-40.63702,17.678066,-34.287853,140.92226,-7.0489964,-131.64963
7106450000,-23.968878,-67.624794,-26.571917,-126.98157,-7.1136637,-24.253599
7206400000,-30.896681,9.5772276,-25.695793,-85.100761,-7.1526923,82.930527
7306350000,-30.0368,-44.689602,-27.836582,-75.284195,-7.1973958,-169.67801
7406300000,-33.776115,-108.7087,-25.02021,-77.174599,-7.2620211,-62.107075
7506250000,-24.003378,-47.506821,-24.082865,-47.246574,-7.3220687,45.054562
7606200000,-36.329632,59.10854,-29.419432,13.636596,-7.3541889,152.39488
7706150000,-27.051563,-109.27435,-30.294794,126.44922,-7.4045353,-100.28893
7806100000,-24.685472,-70.639061,-22.332253,-138.4669,-7.4860644,6.7604289
7906050000,-26.604994,-20.465757,-30.039124,126.27328,-7.4958167,114.61922
8006000000,-39.816082,-82.165642,-27.234905,-165.99333,-7.5431929,-138.0808
8105950000,-27.76936,-103.18891,-26.605278,-136.19559,-7.5979133,-30.81628
8205900000,-29.349773,3.7296104,-28.856291,-48.42448,-7.6431313,76.546288
8305850000,-29.634134,-170.0829,-25.500658,28.554237,-7.7013688,-176.05824
8405800000,-28.760298,-84.660759,-27.446541,83.190483,-7.7316089,-68.778099
8505750000,-36.631275,-125.5985,-29.145998,91.896332,-7.7681141,38.60886
8605700000,-46.678921,-19.99011,-27.390295,99.036041,-7.8200989,146.01192
8705650000,-27.388752,-139.07426,-25.195763,126.02321,-7.8870549,-106.62326
8805600000,-33.185299,-47.539997,-32.224529,-149.20749,-7.9094439,0.65382874
8905550000,-36.43597,116.25301,-31.015366,-51.249882,-7.9523845,108.0624
9005500000,-29.409126,-130.16623,-25.557299,14.107349,-8.0092621,-144.60197
9105450000,-45.252708,89.670158,-27.07066,6.3780246,-8.0427542,-37.189384
9205400000,-37.141907,-69.102745,-26.778048,25.198402,-8.0877295,70.14962
9305350000,-29.335823,123.58998,-24.911213,50.915791,-8.1488581,177.49152
9405300000,-37.11655,-87.26001,-32.264362,94.160004,-8.1704292,-75.193642
9505250000,-34.270805,89.835518,-35.702629,163.08449,-8.2169123,32.210674
9605200000,-35.099979,160.88441,-31.98292,-59.510136,-8.2568092,139.58078
9705150000,-33.004738,19.44997,-28.453533,-48.444187,-8.3052168,-112.96111
9805100000,-37.878006,101.92807,-26.843718,-38.762043,-8.3531017,-5.5882759
9905050000,-31.089092,33.948502,-25.09827,-11.538442,-8.4016304,101.7315
10005000000,-47.60323,-161.15729,-28.324768,23.205887,-8.4334717,-150.96138
10104950000,-33.076355,10.688946,-34.10194,30.062614,-8.4680643,-43.592911
10204900000,-55.271255,-57.00798,-43.010578,114.62851,-8.5076962,63.851128
10304850000,-35.312279,5.0064416,-31.481199,-140.67241,-8.5587406,171.36708
10404800000,-35.557114,92.646896,-28.553194,-107.22403,-8.6023035,-81.367645
10504750000,-32.670174,-18.920893,-26.116655,-93.959091,-8.6507273,25.978394
10604700000,-34.648487,100.52444,-28.523172,-52.81913,-8.6831169,133.298
10704650000,-32.663898,15.581774,-29.823505,-38.914825,-8.7200823,-119.26411
10804600000,-33.537514,46.133884,-40.439732,73.019508,-8.7554445,-11.853556
10904550000,-39.762173,-29.143324,-40.435501,103.00974,-8.7945051,95.498337
11004500000,-31.80591,46.30283,-29.374067,134.7321,-8.8496904,-157.12622
11104450000,-39.270397,-38.170971,-32.135109,-175.27464,-8.8825321,-49.780521
11204400000,-36.251511,22.834045,-30.353704,-94.3461,-8.9229698,57.549728
11304350000,-23.272064,-41.001991,-25.772636,-156.853,-9.0096836,165.07266
11404300000,-33.263165,-15.812202,-36.878128,-5.029006,-8.9971962,-87.571419
11504250000,-34.254395,-111.92453,-30.663078,2.0046992,-9.0396843,19.844589
11604200000,-34.704144,-31.495274,-33.534798,46.965595,-9.0775185,127.18346
11704150000,-43.076283,-109.33312,-33.048866,70.472198,-9.1192408,-125.48078
11804100000,-33.411873,-69.51506,-34.474174,164.94528,-9.1662512,-18.112627
11904050000,-43.075291,-135.77194,-41.625481,-148.15404,-9.1890173,89.370613
12004000000,-41.925816,-48.653439,-35.859173,-89.758995,-9.229826,-163.28674
12103950000,-44.710167,-153.99651,-33.172527,-95.093819,-9.270133,-55.890812
12203900000,-36.702454,-112.01707,-31.137522,-45.995327,-9.3115511,51.475101
12303850000,-41.769772,141.59827,-34.026611,-25.841351,-9.3488617,158.87865
12403800000,-39.527374,-58.507259,-39.335117,24.363384,-9.3891087,-93.746628
12503750000,-41.400902,87.232376,-37.317436,139.96472,-9.4281473,13.64352
